series_id,date,value
CES0000000001,2024-11,159288.0
CES0000000001,2024-10,159061.0
CES0000000001,2024-09,159025.0
CES0000000001,2024-08,158770.0
CES0000000001,2024-07,158692.0
CES0000000001,2024-06,158548.0
CES0000000001,2024-05,158430.0
CES0000000001,2024-04,158214.0
CES0000000001,2024-03,158106.0
CES0000000001,2024-02,157796.0
CES0000000001,2024-01,157560.0
CES0000000001,2023-12,157304.0
CES0000000001,2023-11,157014.0
CES0000000001,2023-10,156832.0
CES0000000001,2023-09,156667.0
CES0000000001,2023-08,156421.0
CES0000000001,2023-07,156211.0
CES0000000001,2023-06,156027.0
CES0000000001,2023-05,155787.0
CES0000000001,2023-04,155484.0
CES0000000001,2023-03,155206.0
CES0000000001,2023-02,155060.0
CES0000000001,2023-01,154773.0
LNS14000000,2024-11,4.2
LNS14000000,2024-10,4.1
LNS14000000,2024-09,4.1
LNS14000000,2024-08,4.2
LNS14000000,2024-07,4.3
LNS14000000,2024-06,4.1
LNS14000000,2024-05,4.0
LNS14000000,2024-04,3.9
LNS14000000,2024-03,3.8
LNS14000000,2024-02,3.9
LNS14000000,2024-01,3.7
LNS14000000,2023-12,3.7
LNS14000000,2023-11,3.7
LNS14000000,2023-10,3.8
LNS14000000,2023-09,3.8
LNS14000000,2023-08,3.8
LNS14000000,2023-07,3.5
LNS14000000,2023-06,3.6
LNS14000000,2023-05,3.7
LNS14000000,2023-04,3.4
LNS14000000,2023-03,3.5
LNS14000000,2023-02,3.6
LNS14000000,2023-01,3.4
LNS11000000,2024-11,168286.0
LNS11000000,2024-10,168479.0
LNS11000000,2024-09,168699.0
LNS11000000,2024-08,168549.0
LNS11000000,2024-07,168429.0
LNS11000000,2024-06,168009.0
LNS11000000,2024-05,167732.0
LNS11000000,2024-04,167982.0
LNS11000000,2024-03,167895.0
LNS11000000,2024-02,167426.0
LNS11000000,2024-01,167276.0
LNS11000000,2023-12,167451.0
LNS11000000,2023-11,168127.0
LNS11000000,2023-10,167723.0
LNS11000000,2023-09,167897.0
LNS11000000,2023-08,167840.0
LNS11000000,2023-07,167113.0
LNS11000000,2023-06,167000.0
LNS11000000,2023-05,166823.0
LNS11000000,2023-04,166678.0
LNS11000000,2023-03,166690.0
LNS11000000,2023-02,166263.0
LNS11000000,2023-01,165871.0
LNS12000000,2024-11,161141.0
LNS12000000,2024-10,161496.0
